dia,mes,N Daylight hours
13,8,12.492
14,8,12.48
15,8,12.468
16,8,12.456
17,8,12.445
18,8,12.433
19,8,12.42
20,8,12.408
21,8,12.396
22,8,12.383
23,8,12.371
24,8,12.358
25,8,12.346
26,8,12.333
27,8,12.32
28,8,12.307
29,8,12.294
30,8,12.281
31,8,12.268
1,9,12.255
2,9,12.242
3,9,12.229
4,9,12.216
5,9,12.202
6,9,12.189
7,9,12.176
8,9,12.162
9,9,12.149
10,9,12.135
11,9,12.122
12,9,12.108
13,9,12.095
14,9,12.081
15,9,12.068
16,9,12.054
17,9,12.04
18,9,12.027
19,9,12.013
20,9,12
21,9,11.986
22,9,11.972
23,9,11.959
24,9,11.945
25,9,11.932
26,9,11.918
27,9,11.904
28,9,11.891
29,9,11.877
30,9,11.864
31,9,
1,10,11.85
2,10,11.837
3,10,11.824
4,10,11.81
5,10,11.797
6,10,11.784
7,10,11.77
8,10,11.757
9,10,11.744
10,10,11.731
11,10,11.718
12,10,11.705
13,10,11.692
14,10,11.679
15,10,11.666
16,10,11.653
17,10,11.641
18,10,11.628
19,10,11.616
20,10,11.603
21,10,11.591
22,10,11.579
23,10,11.567
24,10,11.555
25,10,11.543
26,10,11.531
27,10,11.519
28,10,11.508
29,10,11.496
30,10,11.485
31,10,11.474
1,11,11.462
2,11,11.452
3,11,11.441
4,11,11.43
5,11,11.419
6,11,11.409
7,11,11.399
8,11,11.389
9,11,11.379
10,11,11.369
11,11,11.359
12,11,11.35
13,11,11.341
14,11,11.332
15,11,11.323
16,11,11.314
17,11,11.306
18,11,11.298
19,11,11.289
20,11,11.282
21,11,11.274
22,11,11.266
23,11,11.259
24,11,11.252
25,11,11.245
26,11,11.239
27,11,11.233
28,11,11.226
29,11,11.221
30,11,11.215
31,11,
1,12,11.21
2,12,11.205
3,12,11.2
4,12,11.195
5,12,11.191
6,12,11.187
7,12,11.183
8,12,11.179
9,12,11.176
10,12,11.173
11,12,11.17
12,12,11.168
13,12,11.165
14,12,11.164
15,12,11.162
16,12,11.161
17,12,11.159
18,12,11.159
19,12,11.158
20,12,11.158
21,12,11.158
22,12,11.158
23,12,11.159
24,12,11.159
25,12,11.161
26,12,11.162
27,12,11.164
28,12,11.166
29,12,11.168
30,12,11.17
31,12,11.173
