dia	1_N	1_Ra	2_N	2_Ra	3_N	3_Ra	4_N	4_Ra	5_N	5_Ra	6_N	6_Ra	7_N	7_Ra	8_N	8_Ra	9_N	9_Ra	10_N	10_Ra	11_N	Unnamed: 22	11_Ra	12_N	12_Ra
20	11.282	30.199	11.606	33.55	11.976	36.5	12.388	38.214	12.706	38.381	12.842	38.13	12.729	38.133	12.408	37.857	12.0	36.212	11.603	33.187	11.282		30.024	11.158	28.754
21	11.29	30.287	11.618	33.667	11.99	36.585	12.4	38.238	12.714	38.373	12.842	38.126	12.721	38.134	12.396	37.83	11.986	36.13	11.591	33.075	11.274		29.944	11.158	28.757
22	11.299	30.376	11.631	33.784	12.003	36.668	12.413	38.261	12.721	38.365	12.842	38.122	12.714	38.136	12.383	37.802	11.972	36.046	11.579	32.962	11.266		29.866	11.158	28.763
23	11.307	30.468	11.644	33.9	12.017	36.749	12.425	38.282	12.729	38.357	12.842	38.119	12.706	38.136	12.371	37.772	11.959	35.961	11.567	32.85	11.259		29.791	11.159	28.772
24	11.315	30.562	11.656	34.016	12.031	36.828	12.437	38.302	12.736	38.348	12.841	38.116	12.697	38.137	12.358	37.74	11.945	35.874	11.555	32.737	11.252		29.717	11.159	28.784
25	11.324	30.657	11.669	34.132	12.044	36.905	12.449	38.32	12.744	38.339	12.84	38.113	12.689	38.137	12.346	37.707	11.932	35.785	11.543	32.625	11.245		29.647	11.161	28.799
26	11.333	30.755	11.682	34.247	12.058	36.98	12.461	38.336	12.751	38.33	12.839	38.111	12.68	38.137	12.333	37.672	11.918	35.695	11.531	32.513	11.239		29.578	11.162	28.818
27	11.342	30.854	11.695	34.361	12.072	37.054	12.473	38.351	12.757	38.321	12.837	38.109	12.671	38.136	12.32	37.635	11.904	35.603	11.519	32.401	11.233		29.512	11.164	28.839
28	11.351	30.955	11.708	34.475	12.085	37.125	12.485	38.364	12.764	38.311	12.835	38.108	12.662	38.135	12.307	37.597	11.891	35.51	11.508	32.29	11.226		29.448	11.166	28.863
29	11.361	31.057	11.714	34.531	12.099	37.194	12.496	38.377	12.77	38.302	12.833	38.106	12.653	38.133	12.294	37.557	11.877	35.416	11.496	32.179	11.221		29.387	11.168	28.891
30	11.37	31.161			12.112	37.262	12.508	38.387	12.776	38.292	12.831	38.106	12.644	38.131	12.281	37.515	11.864	35.32	11.485	32.069	11.215		29.329	11.17	28.921
31	11.38	31.266			12.126	37.327			12.782	38.283			12.634	38.128	12.268	37.471			11.474	31.96				11.173	28.954
"Total
general"	349.12	928.81	334.9	956.03	369.58	1118.35	369.85	1140.36	392.58	1189.87	384.83	1145.01	395.18	1181.8	386.01	1174.74	361.81	1094.76	361.35	1042.19	339.77		914.14	346.31	895.74
